image_id,image_path,caption_1,caption_2,caption_3,caption_4,chart_id,chart_uid,edicion,source_page_pdf,source_report,tiene_oracion,fuente_oracion
2021-1_img_000,images/2021-1_grafico_000_I_A_1.png,Grafico I.A.1: Crecimiento economico global,Crecimiento economico global,"El grafico muestra crecimiento economico global. Segun el reporte, En octubre del ano pasado el FMI esperaba que la contraccion fuese de 4.4%, pero la recuperacion de los paises a partir de la segunda mitad del ano pasado, unido al inicio de las campanas de vacunacion y al impulso fiscal, habria reducido el impacto economico global de la pandemia y permiten vislumbrar una recuperacion mas fuerte de lo que se esperaba hace seis meses.","Crecimiento economico global. En octubre del ano pasado el FMI esperaba que la contraccion fuese de 4.4%, pero la recuperacion de los paises a partir de la segunda mitad del ano pasado, unido al inicio de las campanas de vacunacion y al impulso fiscal, habria reducido el impacto economico global de la pandemia y permiten vislumbrar una recuperacion mas fuerte de lo que se esperaba hace seis meses.",I.A.1,2021-1|I.A.1,2021-1,21,"SBS - Informe de Estabilidad del Sistema Financiero, 2021-1",True,parrafo_previo
2021-1_img_001,images/2021-1_grafico_001_I_A_2.png,Grafico I.A.2: Nivel de PBI en terminos reales,Nivel de PBI en terminos reales,"El grafico muestra nivel de pbi en terminos reales. Segun el reporte, En el caso de China, ya habria superado sus niveles pre-pandemia desde el 2020 ante la rapida contencion en el avance del virus; mientras que en el caso de Estados Unidos habria alcanzado dicho nivel desde inicios de 2021 (ver Grafico I.A.2), debido a la respuesta fiscal y monetaria sin precedentes que ha implementado y que se estima se mantendria los proximos anos.","Nivel de PBI en terminos reales. En el caso de China, ya habria superado sus niveles pre-pandemia desde el 2020 ante la rapida contencion en el avance del virus; mientras que en el caso de Estados Unidos habria alcanzado dicho nivel desde inicios de 2021 , debido a la respuesta fiscal y monetaria sin precedentes que ha implementado y que se estima se mantendria los proximos anos.",I.A.2,2021-1|I.A.2,2021-1,22,"SBS - Informe de Estabilidad del Sistema Financiero, 2021-1",True,cita_explicita
2021-1_img_002,images/2021-1_grafico_002_I_A_3.png,Grafico I.A.3: Rentabilidad de los bonos a 10 anos,Rentabilidad de los bonos a 10 anos,"El grafico muestra rentabilidad de los bonos a 10 anos. Segun el reporte, Este contexto, ha permitido que se reduzca el riesgo global, reflejandose en un incremento de los indices bursatiles y en la apreciacion del dolar frente a otras monedas.","Rentabilidad de los bonos a 10 anos. Este contexto, ha permitido que se reduzca el riesgo global, reflejandose en un incremento de los indices bursatiles y en la apreciacion del dolar frente a otras monedas.",I.A.3,2021-1|I.A.3,2021-1,23,"SBS - Informe de Estabilidad del Sistema Financiero, 2021-1",True,parrafo_previo
2021-1_img_003,images/2021-1_grafico_003_I_A_4.png,Grafico I.A.4: Cotizaciones internacionales de commodities,Cotizaciones internacionales de commodities,"El grafico muestra cotizaciones internacionales de commodities. Segun el reporte, Ello tiene efecto sobre los costos de importacion y precios domesticos para paises como el Peru, lo que podria representar mayores presiones al alza sobre los precios locales.","Cotizaciones internacionales de commodities. Ello tiene efecto sobre los costos de importacion y precios domesticos para paises como el Peru, lo que podria representar mayores presiones al alza sobre los precios locales.",I.A.4,2021-1|I.A.4,2021-1,24,"SBS - Informe de Estabilidad del Sistema Financiero, 2021-1",True,parrafo_previo
2021-1_img_004,images/2021-1_grafico_004_I_A_5.png,Grafico I.A.5: Casos diarios de COVID-19 a nivel global e Indice de restriccion de movilidad,Casos diarios de COVID-19 a nivel global e Indice de restriccion de movilidad,"El grafico muestra casos diarios de covid-19 a nivel global e indice de restriccion de movilidad. Segun el reporte, No obstante, hasta el momento las nuevas medidas focalizadas han tenido un efecto acotado en la movilizacion y en la actividad economica.","Casos diarios de COVID-19 a nivel global e Indice de restriccion de movilidad. No obstante, hasta el momento las nuevas medidas focalizadas han tenido un efecto acotado en la movilizacion y en la actividad economica.",I.A.5,2021-1|I.A.5,2021-1,25,"SBS - Informe de Estabilidad del Sistema Financiero, 2021-1",True,parrafo_previo
2021-1_img_005,images/2021-1_grafico_005_I_A_6.png,Grafico I.A.6: Empleo en Lima Metropolitana,Empleo en Lima Metropolitana,"El grafico muestra empleo en lima metropolitana. Segun el reporte, Asi, en marzo la caida anual fue de 9.3% luego de haber experimentado una caida anual de 13% el ultimo trimestre de 2020. 20 Ministerio de Economia y Finanzas, Informe de Actualizacion de Proyecciones Macroeconomicas 2021 – 2024, abril 2021. Pagina 24 Grafico I.A.6 Empleo en Lima Metropolitana (Variacion porcentual anual) 30 20 10 0 -10 -20 -30 -40 -50 -60 -70 Nov Mar May Ago Ene-20 Dic Mar Feb Ene-21 Abr Jun Jul Set Oct Feb Total Adecuado Subempleo Fuente: Banco Central de Reserva del Peru Se debe considerar que la velocidad de reactivacion de la economia para este ano podria verse afectada por demoras en la campana de vacunacion o un incremento en la incertidumbre politica.","Empleo en Lima Metropolitana. Asi, en marzo la caida anual fue de 9.3% luego de haber experimentado una caida anual de 13% el ultimo trimestre de 2020. 20 Ministerio de Economia y Finanzas, Informe de Actualizacion de Proyecciones Macroeconomicas 2021 – 2024, abril 2021. Pagina 24 Grafico I.A.6 Empleo en Lima Metropolitana 30 20 10 0 -10 -20 -30 -40 -50 -60 -70 Nov Mar May Ago Ene-20 Dic Mar Feb Ene-21 Abr Jun Jul Set Oct Feb Total Adecuado Subempleo Fuente: Banco Central de Reserva del Peru Se debe considerar que la velocidad de reactivacion de la economia para este ano podria verse afectada por demoras en la campana de vacunacion o un incremento en la incertidumbre politica.",I.A.6,2021-1|I.A.6,2021-1,26,"SBS - Informe de Estabilidad del Sistema Financiero, 2021-1",True,cita_explicita
2021-1_img_006,images/2021-1_grafico_006_I_A_7.png,Grafico I.A.7: Fallecidos por COVID-19 en Peru,Fallecidos por COVID-19 en Peru,"El grafico muestra fallecidos por covid-19 en peru. Segun el reporte, Por el lado sanitario el numero de contagios en Peru ascendio a 1.8 millones 21 de personas y finalmente se habria pasado el pico de la segunda ola, alcanzado a fines de abril (ver Grafico I.A.7).","Fallecidos por COVID-19 en Peru. Por el lado sanitario el numero de contagios en Peru ascendio a 1.8 millones 21 de personas y finalmente se habria pasado el pico de la segunda ola, alcanzado a fines de abril .",I.A.7,2021-1|I.A.7,2021-1,27,"SBS - Informe de Estabilidad del Sistema Financiero, 2021-1",True,cita_explicita
2021-1_img_007,images/2021-1_grafico_007_I_A_8.png,Grafico I.A.8: Tipo de cambio durante el periodo electoral,Tipo de cambio durante el periodo electoral,"El grafico muestra tipo de cambio durante el periodo electoral. Segun el reporte, Pagina 25 Grafico I.A.7 Fallecidos por COVID-19 en Peru (Numero de personas por semana) 2500 2000 1500 1000 500 0 2021-2 2021-5 2021-8 2020-10 2020-13 2020-16 2020-19 2020-22 2020-25 2020-28 2020-31 2020-34 2020-37 2020-40 2020-43 2020-46 2020-49 2020-52 2021-11 2021-14 2021-17 Nacional Otras regiones Lima Met. y Callao Fuente: MINSA Grafico I.A.8 Tipo de cambio durante el periodo electoral (Indice 100 = Enero de cada ano) 108 106 104 102 100 98 96 94 92 8-May 13-Mar 27-Mar 22-May 5-Jun 2-Ene 13-Feb 27-Feb 10-Abr 24-Abr 19-Jun 16-Ene 30-Ene 2006 2011 2016 2021 Fuente: Banco Central de Reserva del Peru Pagina 26 I.B.",Tipo de cambio durante el periodo electoral. Pagina 25 Grafico I.A.7 Fallecidos por COVID-19 en Peru 2500 2000 1500 1000 500 0 2021-2 2021-5 2021-8 2020-10 2020-13 2020-16 2020-19 2020-22 2020-25 2020-28 2020-31 2020-34 2020-37 2020-40 2020-43 2020-46 2020-49 2020-52 2021-11 2021-14 2021-17 Nacional Otras regiones Lima Met. y Callao Fuente: MINSA Grafico I.A.8 Tipo de cambio durante el periodo electoral 108 106 104 102 100 98 96 94 92 8-May 13-Mar 27-Mar 22-May 5-Jun 2-Ene 13-Feb 27-Feb 10-Abr 24-Abr 19-Jun 16-Ene 30-Ene 2006 2011 2016 2021 Fuente: Banco Central de Reserva del Peru Pagina 26 I.B.,I.A.8,2021-1|I.A.8,2021-1,27,"SBS - Informe de Estabilidad del Sistema Financiero, 2021-1",True,cita_explicita
2021-1_img_008,images/2021-1_grafico_008_I_B_1.png,Grafico I.B.1: Sistema financiero: saldo de creditos directos,Sistema financiero: saldo de creditos directos,"El grafico muestra sistema financiero: saldo de creditos directos. Segun el reporte, Sin estos programas, las coloraciones del sistema financiero estarian decreciendo en terminos anuales desde agosto 2020; sin embargo, el crecimiento mostrado a marzo 2021 fue de 9.5% (-7.3% sin contar los programas).","Sistema financiero: saldo de creditos directos. Sin estos programas, las coloraciones del sistema financiero estarian decreciendo en terminos anuales desde agosto 2020; sin embargo, el crecimiento mostrado a marzo 2021 fue de 9.5% .",I.B.1,2021-1|I.B.1,2021-1,28,"SBS - Informe de Estabilidad del Sistema Financiero, 2021-1",True,parrafo_previo
2021-1_img_009,images/2021-1_grafico_009_I_B_2.png,Grafico I.B.2: Sistema financiero: tipo de creditos directos,Sistema financiero: tipo de creditos directos,"El grafico muestra sistema financiero: tipo de creditos directos. Segun el reporte, Pagina 27 Grafico I.B.2 Sistema financiero: tipo de creditos directos (variacion porcentual anual) Por otro lado, los efectos adversos de la pandemia se van reflejando en los indicadores de calidad de cartera, particularmente en las carteras MYPE y consumo.","Sistema financiero: tipo de creditos directos. Pagina 27 Grafico I.B.2 Sistema financiero: tipo de creditos directos Por otro lado, los efectos adversos de la pandemia se van reflejando en los indicadores de calidad de cartera, particularmente en las carteras MYPE y consumo.",I.B.2,2021-1|I.B.2,2021-1,29,"SBS - Informe de Estabilidad del Sistema Financiero, 2021-1",True,cita_explicita
