image_id,image_path,caption_1,caption_2,caption_3,caption_4,chart_id,chart_uid,edicion,source_page_pdf,source_report,tiene_oracion,fuente_oracion,caption_4_prev,caption_4_fuente
2021-1_img_000,images/2021-1_grafico_000_I_A_1.png,Grafico I.A.1: Crecimiento economico global,Crecimiento economico global,"El grafico muestra crecimiento economico global. Segun el reporte, En octubre del ano pasado el FMI esperaba que la contraccion fuese de 4.4%, pero la recuperacion de los paises a partir de la segunda mitad del ano pasado, unido al inicio de las campanas de vacunacion y al impulso fiscal, habria reducido el impacto economico global de la pandemia y permiten vislumbrar una recuperacion mas fuerte de lo que se esperaba hace seis meses.","Grafico de linea con la variacion porcentual anual del PBI mundial desde 1920 hasta 2020, en una escala de -15 a +30, con bandas verticales grises que marcan cinco episodios de crisis: Gran Depresion, Segunda Guerra Mundial, crisis del petroleo de 1974 y 1979, crisis financiera global y COVID-19. Cada banda lleva la caida asociada como etiqueta: -4.6 en los anos treinta, -10.5 y -8.4 en la guerra, -0.1 y 0.5 en los setenta y ochenta, -0.1 en 2009 y -3.3 en 2020. El maximo historico ronda +27 en la posguerra. La lectura visual situa la contraccion por la pandemia como la mas severa desde la Segunda Guerra Mundial, aunque menor que aquella.",I.A.1,2021-1|I.A.1,2021-1,21,"SBS - Informe de Estabilidad del Sistema Financiero, 2021-1",1.0,parrafo_previo,"Crecimiento economico global. En octubre del ano pasado el FMI esperaba que la contraccion fuese de 4.4%, pero la recuperacion de los paises a partir de la segunda mitad del ano pasado, unido al inicio de las campanas de vacunacion y al impulso fiscal, habria reducido el impacto economico global de la pandemia y permiten vislumbrar una recuperacion mas fuerte de lo que se esperaba hace seis meses.",lectura_visual_claude
2021-1_img_001,images/2021-1_grafico_001_I_A_2.png,Grafico I.A.2: Nivel de PBI en terminos reales,Nivel de PBI en terminos reales,"El grafico muestra nivel de pbi en terminos reales. Segun el reporte, En el caso de China, ya habria superado sus niveles pre-pandemia desde el 2020 ante la rapida contencion en el avance del virus; mientras que en el caso de Estados Unidos habria alcanzado dicho nivel desde inicios de 2021 (ver Grafico I.A.2), debido a la respuesta fiscal y monetaria sin precedentes que ha implementado y que se estima se mantendria los proximos anos.","Grafico de tres paneles con el nivel del PBI real como indice base cuarto trimestre de 2019=100, con datos trimestrales del 4T19 al 1T21, para EE.UU., China y la Eurozona; cada panel anota la variacion de 2020: -3.5% en EE.UU., +2.2% en China y -6.8% en la Eurozona. La curva de China cae poco al inicio (minimo ~93), recupera el nivel 100 desde mediados de 2020 y sigue subiendo con tramo punteado por encima de 115. EE.UU. toca fondo cerca de 90 en el 2T20 y se acerca de nuevo a 100 al cierre. La Eurozona cae por debajo de 87, rebota parcialmente y queda estancada alrededor de 95, la recuperacion mas debil de las tres.",I.A.2,2021-1|I.A.2,2021-1,22,"SBS - Informe de Estabilidad del Sistema Financiero, 2021-1",1.0,cita_explicita,"Nivel de PBI en terminos reales. En el caso de China, ya habria superado sus niveles pre-pandemia desde el 2020 ante la rapida contencion en el avance del virus; mientras que en el caso de Estados Unidos habria alcanzado dicho nivel desde inicios de 2021 , debido a la respuesta fiscal y monetaria sin precedentes que ha implementado y que se estima se mantendria los proximos anos.",lectura_visual_claude
2021-1_img_002,images/2021-1_grafico_002_I_A_3.png,Grafico I.A.3: Rentabilidad de los bonos a 10 anos,Rentabilidad de los bonos a 10 anos,"El grafico muestra rentabilidad de los bonos a 10 anos. Segun el reporte, Este contexto, ha permitido que se reduzca el riesgo global, reflejandose en un incremento de los indices bursatiles y en la apreciacion del dolar frente a otras monedas.","Grafico de lineas con doble eje que compara la rentabilidad de los bonos a 10 anos de EE.UU. (eje izquierdo, de -0.4 a 2.2) y de Alemania (eje derecho, de -1.0 a -0.1), de enero de 2020 a abril de 2021, en porcentaje. El bono estadounidense cae desde ~1.8% a minimos cercanos a 0.5% entre marzo y agosto de 2020, y desde fines de ese ano sube con fuerza hasta ~1.6-1.7%. El aleman, siempre en terreno negativo, se hunde hasta ~-0.7% en el peor momento de la pandemia y remonta hacia ~-0.25/-0.3% al cierre. Ambas curvas dibujan la misma forma de V asimetrica, con la recuperacion concentrada en el tramo final.",I.A.3,2021-1|I.A.3,2021-1,23,"SBS - Informe de Estabilidad del Sistema Financiero, 2021-1",1.0,parrafo_previo,"Rentabilidad de los bonos a 10 anos. Este contexto, ha permitido que se reduzca el riesgo global, reflejandose en un incremento de los indices bursatiles y en la apreciacion del dolar frente a otras monedas.",lectura_visual_claude
2021-1_img_003,images/2021-1_grafico_003_I_A_4.png,Grafico I.A.4: Cotizaciones internacionales de commodities,Cotizaciones internacionales de commodities,"El grafico muestra cotizaciones internacionales de commodities. Segun el reporte, Ello tiene efecto sobre los costos de importacion y precios domesticos para paises como el Peru, lo que podria representar mayores presiones al alza sobre los precios locales.","Grafico de lineas con doble eje que muestra las cotizaciones diarias del petroleo (dolares por barril, eje izquierdo de -60 a 80) y del cobre (centavos de dolar por libra, eje derecho de 0 a 5), de enero de 2019 a abril de 2021. El petroleo oscila entre 40 y 65 dolares hasta inicios de 2020, se desploma en abril de 2020 con una espiga que perfora el cero hasta cerca de -40 dolares, y luego se recupera de forma sostenida hasta la zona de 60. El cobre cae a minimos alrededor de 2.1-2.2 en marzo de 2020 y desde ahi sube casi sin pausa hasta 4.4-4.5 al cierre, el nivel mas alto de toda la serie.",I.A.4,2021-1|I.A.4,2021-1,24,"SBS - Informe de Estabilidad del Sistema Financiero, 2021-1",1.0,parrafo_previo,"Cotizaciones internacionales de commodities. Ello tiene efecto sobre los costos de importacion y precios domesticos para paises como el Peru, lo que podria representar mayores presiones al alza sobre los precios locales.",lectura_visual_claude
2021-1_img_004,images/2021-1_grafico_004_I_A_5.png,Grafico I.A.5: Casos diarios de COVID-19 a nivel global e Indice de restriccion de movilidad,Casos diarios de COVID-19 a nivel global e Indice de restriccion de movilidad,"El grafico muestra casos diarios de covid-19 a nivel global e indice de restriccion de movilidad. Segun el reporte, No obstante, hasta el momento las nuevas medidas focalizadas han tenido un efecto acotado en la movilizacion y en la actividad economica.","Grafico combinado de los casos diarios de COVID-19 a nivel global (eje izquierdo, en miles, de 0 a 800) y el indice de restriccion de movilidad (eje derecho, de 0 a 24, media de 7 dias), de enero de 2020 a marzo-abril de 2021, con una flecha que indica que valores altos del indice significan menor movilidad. Los casos suben en olas: meseta cercana a 250-300 mil a mediados de 2020, pico de ~740 mil entre diciembre de 2020 y enero de 2021, descenso y nuevo repunte hacia ~650-700 mil en abril de 2021. El indice salta a su maximo (~21-22) en abril de 2020 y luego baja y fluctua en un rango medio pese a las nuevas olas, reflejando restricciones mas focalizadas.",I.A.5,2021-1|I.A.5,2021-1,25,"SBS - Informe de Estabilidad del Sistema Financiero, 2021-1",1.0,parrafo_previo,"Casos diarios de COVID-19 a nivel global e Indice de restriccion de movilidad. No obstante, hasta el momento las nuevas medidas focalizadas han tenido un efecto acotado en la movilizacion y en la actividad economica.",lectura_visual_claude
2021-1_img_005,images/2021-1_grafico_005_I_A_6.png,Grafico I.A.6: Empleo en Lima Metropolitana,Empleo en Lima Metropolitana,"El grafico muestra empleo en lima metropolitana. Segun el reporte, Asi, en marzo la caida anual fue de 9.3% luego de haber experimentado una caida anual de 13% el ultimo trimestre de 2020. 20 Ministerio de Economia y Finanzas, Informe de Actualizacion de Proyecciones Macroeconomicas 2021 – 2024, abril 2021. Pagina 24 Grafico I.A.6 Empleo en Lima Metropolitana (Variacion porcentual anual) 30 20 10 0 -10 -20 -30 -40 -50 -60 -70 Nov Mar May Ago Ene-20 Dic Mar Feb Ene-21 Abr Jun Jul Set Oct Feb Total Adecuado Subempleo Fuente: Banco Central de Reserva del Peru Se debe considerar que la velocidad de reactivacion de la economia para este ano podria verse afectada por demoras en la campana de vacunacion o un incremento en la incertidumbre politica.","Grafico del empleo en Lima Metropolitana en variacion porcentual anual, de enero de 2020 a marzo de 2021, escala +30 a -70, con el total en barras grises y dos lineas: empleo adecuado y subempleo. Las tres series se hunden entre abril y julio de 2020: el adecuado toca fondo cerca de -63/-65% y el total alrededor de -55%. Despues las trayectorias se separan: el subempleo cruza a terreno positivo desde el tercer trimestre de 2020 y llega a picos por encima de +20%, mientras el adecuado sigue en negativo (~-30%) y el total cierra en marzo de 2021 con una caida anual de un digito, senal de recuperacion con deterioro en la calidad del empleo.",I.A.6,2021-1|I.A.6,2021-1,26,"SBS - Informe de Estabilidad del Sistema Financiero, 2021-1",1.0,cita_explicita,"Empleo en Lima Metropolitana. Asi, en marzo la caida anual fue de 9.3% luego de haber experimentado una caida anual de 13% el ultimo trimestre de 2020. 20 Ministerio de Economia y Finanzas, Informe de Actualizacion de Proyecciones Macroeconomicas 2021 – 2024, abril 2021. Pagina 24 Grafico I.A.6 Empleo en Lima Metropolitana 30 20 10 0 -10 -20 -30 -40 -50 -60 -70 Nov Mar May Ago Ene-20 Dic Mar Feb Ene-21 Abr Jun Jul Set Oct Feb Total Adecuado Subempleo Fuente: Banco Central de Reserva del Peru Se debe considerar que la velocidad de reactivacion de la economia para este ano podria verse afectada por demoras en la campana de vacunacion o un incremento en la incertidumbre politica.",lectura_visual_claude
2021-1_img_006,images/2021-1_grafico_006_I_A_7.png,Grafico I.A.7: Fallecidos por COVID-19 en Peru,Fallecidos por COVID-19 en Peru,"El grafico muestra fallecidos por covid-19 en peru. Segun el reporte, Por el lado sanitario el numero de contagios en Peru ascendio a 1.8 millones 21 de personas y finalmente se habria pasado el pico de la segunda ola, alcanzado a fines de abril (ver Grafico I.A.7).","Grafico de lineas con los fallecidos semanales por COVID-19 en el Peru, de la semana 10 de 2020 a la 17 de 2021, en escala 0 a 2,500, con tres series: nacional, Lima Metropolitana y Callao, y otras regiones. La primera ola escala hasta ~2,000-2,100 fallecidos semanales a nivel nacional hacia las semanas 22-25 de 2020, con otras regiones superando a Lima en el pico; luego desciende hasta un valle de ~350-400 a fin de ano. La segunda ola arranca a inicios de 2021 y supera a la primera: el nacional alcanza ~2,500 alrededor de las semanas 14-15 (abril) y empieza a ceder al cierre, consistente con haber pasado el pico.",I.A.7,2021-1|I.A.7,2021-1,27,"SBS - Informe de Estabilidad del Sistema Financiero, 2021-1",1.0,cita_explicita,"Fallecidos por COVID-19 en Peru. Por el lado sanitario el numero de contagios en Peru ascendio a 1.8 millones 21 de personas y finalmente se habria pasado el pico de la segunda ola, alcanzado a fines de abril .",lectura_visual_claude
2021-1_img_007,images/2021-1_grafico_007_I_A_8.png,Grafico I.A.8: Tipo de cambio durante el periodo electoral,Tipo de cambio durante el periodo electoral,"El grafico muestra tipo de cambio durante el periodo electoral. Segun el reporte, Pagina 25 Grafico I.A.7 Fallecidos por COVID-19 en Peru (Numero de personas por semana) 2500 2000 1500 1000 500 0 2021-2 2021-5 2021-8 2020-10 2020-13 2020-16 2020-19 2020-22 2020-25 2020-28 2020-31 2020-34 2020-37 2020-40 2020-43 2020-46 2020-49 2020-52 2021-11 2021-14 2021-17 Nacional Otras regiones Lima Met. y Callao Fuente: MINSA Grafico I.A.8 Tipo de cambio durante el periodo electoral (Indice 100 = Enero de cada ano) 108 106 104 102 100 98 96 94 92 8-May 13-Mar 27-Mar 22-May 5-Jun 2-Ene 13-Feb 27-Feb 10-Abr 24-Abr 19-Jun 16-Ene 30-Ene 2006 2011 2016 2021 Fuente: Banco Central de Reserva del Peru Pagina 26 I.B.","Grafico de lineas que compara el comportamiento del tipo de cambio durante cuatro periodos electorales —2006, 2011, 2016 y 2021— como indice 100 = enero de cada ano, semana a semana de enero a junio, en escala 92 a 108. Las campanas previas se mueven en una franja acotada: 2016 sube hacia ~103 y luego cae por debajo de 96, 2011 se mantiene cerca de 98-101 y 2006 deriva hacia 95-96. La curva de 2021 permanece pegada a 100 hasta fines de marzo y, tras la primera vuelta de abril, salta con pendiente pronunciada por encima de 105, superando los picos de todas las elecciones anteriores al corte de la serie.",I.A.8,2021-1|I.A.8,2021-1,27,"SBS - Informe de Estabilidad del Sistema Financiero, 2021-1",1.0,cita_explicita,Tipo de cambio durante el periodo electoral. Pagina 25 Grafico I.A.7 Fallecidos por COVID-19 en Peru 2500 2000 1500 1000 500 0 2021-2 2021-5 2021-8 2020-10 2020-13 2020-16 2020-19 2020-22 2020-25 2020-28 2020-31 2020-34 2020-37 2020-40 2020-43 2020-46 2020-49 2020-52 2021-11 2021-14 2021-17 Nacional Otras regiones Lima Met. y Callao Fuente: MINSA Grafico I.A.8 Tipo de cambio durante el periodo electoral 108 106 104 102 100 98 96 94 92 8-May 13-Mar 27-Mar 22-May 5-Jun 2-Ene 13-Feb 27-Feb 10-Abr 24-Abr 19-Jun 16-Ene 30-Ene 2006 2011 2016 2021 Fuente: Banco Central de Reserva del Peru Pagina 26 I.B.,lectura_visual_claude
2021-1_img_008,images/2021-1_grafico_008_I_B_1.png,Grafico I.B.1: Sistema financiero: saldo de creditos directos,Sistema financiero: saldo de creditos directos,"El grafico muestra sistema financiero: saldo de creditos directos. Segun el reporte, Sin estos programas, las coloraciones del sistema financiero estarian decreciendo en terminos anuales desde agosto 2020; sin embargo, el crecimiento mostrado a marzo 2021 fue de 9.5% (-7.3% sin contar los programas).","Grafico de lineas con el saldo de creditos directos del sistema financiero en millones de soles, de marzo de 2018 a marzo de 2021, escala 250,000 a 390,000, con dos series: el total y el total excluyendo los programas COVID (Reactiva y FAE). Ambas coinciden hasta abril-mayo de 2020 en torno a 330-340 mil millones, tras un crecimiento gradual desde ~283 mil millones. Con los desembolsos de los programas, el total salta hasta estabilizarse alrededor de 370 mil millones, mientras la serie sin programas desciende de manera sostenida hasta ~310-312 mil millones, dejando una brecha visual de unos 60 mil millones que representa el credito sostenido por las garantias estatales.",I.B.1,2021-1|I.B.1,2021-1,28,"SBS - Informe de Estabilidad del Sistema Financiero, 2021-1",1.0,parrafo_previo,"Sistema financiero: saldo de creditos directos. Sin estos programas, las coloraciones del sistema financiero estarian decreciendo en terminos anuales desde agosto 2020; sin embargo, el crecimiento mostrado a marzo 2021 fue de 9.5% .",lectura_visual_claude
2021-1_img_009,images/2021-1_grafico_009_I_B_2.png,Grafico I.B.2: Sistema financiero: tipo de creditos directos,Sistema financiero: tipo de creditos directos,"El grafico muestra sistema financiero: tipo de creditos directos. Segun el reporte, Pagina 27 Grafico I.B.2 Sistema financiero: tipo de creditos directos (variacion porcentual anual) Por otro lado, los efectos adversos de la pandemia se van reflejando en los indicadores de calidad de cartera, particularmente en las carteras MYPE y consumo.","Grafico de dos paneles con la variacion porcentual anual de los creditos directos por tipo, en escala -15 a +35, hasta marzo de 2021. El panel izquierdo muestra las carteras mayorista y Mype con lineas solidas, y sus versiones sin programas COVID en punteado: la Mype alcanza picos cercanos a +38% a fines de 2020 y la mayorista supera +20%, pero al descontar los programas ambas caen a terreno negativo desde mediados de 2020. El panel derecho presenta consumo e hipotecario: el consumo se desacelera desde ~15% hasta cerca de -11/-12% al cierre, mientras el hipotecario solo modera su ritmo desde ~9-10% hasta un rango de 3% a 6%.",I.B.2,2021-1|I.B.2,2021-1,29,"SBS - Informe de Estabilidad del Sistema Financiero, 2021-1",1.0,cita_explicita,"Sistema financiero: tipo de creditos directos. Pagina 27 Grafico I.B.2 Sistema financiero: tipo de creditos directos Por otro lado, los efectos adversos de la pandemia se van reflejando en los indicadores de calidad de cartera, particularmente en las carteras MYPE y consumo.",lectura_visual_claude
