image_id,caption,tokens_CLIP,truncado_CLIP,tokens_CLIP-L,truncado_CLIP-L,tokens_LongCLIP,truncado_LongCLIP
img_000,caption_2,20,False,20,False,20,False
img_000,caption_3,97,True,97,True,97,False
img_000,caption_4,62,False,62,False,62,False
img_001,caption_2,18,False,18,False,18,False
img_001,caption_3,140,True,140,True,140,False
img_001,caption_4,69,False,69,False,69,False
img_002,caption_2,20,False,20,False,20,False
img_002,caption_3,126,True,126,True,126,False
img_002,caption_4,108,True,108,True,108,False
img_003,caption_2,14,False,14,False,14,False
img_003,caption_3,148,True,148,True,148,False
img_003,caption_4,127,True,127,True,127,False
img_004,caption_2,13,False,13,False,13,False
img_004,caption_3,72,False,72,False,72,False
img_004,caption_4,53,False,53,False,53,False
img_005,caption_2,11,False,11,False,11,False
img_005,caption_3,103,True,103,True,103,False
img_005,caption_4,82,True,82,True,82,False
img_006,caption_2,19,False,19,False,19,False
img_006,caption_3,108,True,108,True,108,False
img_006,caption_4,88,True,88,True,88,False
img_007,caption_2,17,False,17,False,17,False
img_007,caption_3,24,False,24,False,24,False
img_007,caption_4,18,False,18,False,18,False
img_008,caption_2,13,False,13,False,13,False
img_008,caption_3,98,True,98,True,98,False
img_008,caption_4,76,False,76,False,76,False
img_009,caption_2,50,False,50,False,50,False
img_009,caption_3,134,True,134,True,134,False
img_009,caption_4,112,True,112,True,112,False
img_010,caption_2,67,False,67,False,67,False
img_010,caption_3,145,True,145,True,145,False
img_010,caption_4,123,True,123,True,123,False
img_011,caption_2,34,False,34,False,34,False
img_011,caption_3,145,True,145,True,145,False
img_011,caption_4,122,True,122,True,122,False
img_012,caption_2,16,False,16,False,16,False
img_012,caption_3,109,True,109,True,109,False
img_012,caption_4,86,True,86,True,86,False
img_013,caption_2,34,False,34,False,34,False
img_013,caption_3,133,True,133,True,133,False
img_013,caption_4,110,True,110,True,110,False
img_014,caption_2,11,False,11,False,11,False
img_014,caption_3,100,True,100,True,100,False
img_014,caption_4,78,True,78,True,78,False
img_015,caption_2,86,True,86,True,86,False
img_015,caption_3,146,True,146,True,146,False
img_015,caption_4,124,True,124,True,124,False
img_016,caption_2,19,False,19,False,19,False
img_016,caption_3,104,True,104,True,104,False
img_016,caption_4,81,True,81,True,81,False
img_017,caption_2,22,False,22,False,22,False
img_017,caption_3,91,True,91,True,91,False
img_017,caption_4,67,False,67,False,67,False
img_018,caption_2,23,False,23,False,23,False
img_018,caption_3,85,True,85,True,85,False
img_018,caption_4,64,False,64,False,64,False
img_019,caption_2,102,True,102,True,102,False
img_019,caption_3,151,True,151,True,151,False
img_019,caption_4,139,True,139,True,139,False
img_020,caption_2,24,False,24,False,24,False
img_020,caption_3,104,True,104,True,104,False
img_020,caption_4,84,True,84,True,84,False
img_021,caption_2,85,True,85,True,85,False
img_021,caption_3,137,True,137,True,137,False
img_021,caption_4,125,True,125,True,125,False
img_022,caption_2,36,False,36,False,36,False
img_022,caption_3,167,True,167,True,167,False
img_022,caption_4,115,True,115,True,115,False
img_023,caption_2,32,False,32,False,32,False
img_023,caption_3,145,True,145,True,145,False
img_023,caption_4,128,True,128,True,128,False
img_024,caption_2,18,False,18,False,18,False
img_024,caption_3,122,True,122,True,122,False
img_024,caption_4,99,True,99,True,99,False
img_025,caption_2,25,False,25,False,25,False
img_025,caption_3,78,True,78,True,78,False
img_025,caption_4,66,False,66,False,66,False
img_026,caption_2,64,False,64,False,64,False
img_026,caption_3,144,True,144,True,144,False
img_026,caption_4,132,True,132,True,132,False
img_027,caption_2,49,False,49,False,49,False
img_027,caption_3,134,True,134,True,134,False
img_027,caption_4,115,True,115,True,115,False
img_028,caption_2,46,False,46,False,46,False
img_028,caption_3,125,True,125,True,125,False
img_028,caption_4,104,True,104,True,104,False
img_029,caption_2,10,False,10,False,10,False
img_029,caption_3,78,True,78,True,78,False
img_029,caption_4,59,False,59,False,59,False
img_030,caption_2,37,False,37,False,37,False
img_030,caption_3,118,True,118,True,118,False
img_030,caption_4,98,True,98,True,98,False
img_031,caption_2,60,False,60,False,60,False
img_031,caption_3,143,True,143,True,143,False
img_031,caption_4,131,True,131,True,131,False
img_032,caption_2,44,False,44,False,44,False
img_032,caption_3,138,True,138,True,138,False
img_032,caption_4,126,True,126,True,126,False
img_033,caption_2,49,False,49,False,49,False
img_033,caption_3,102,True,102,True,102,False
img_033,caption_4,82,True,82,True,82,False
img_034,caption_2,39,False,39,False,39,False
img_034,caption_3,71,False,71,False,71,False
img_034,caption_4,59,False,59,False,59,False
img_035,caption_2,41,False,41,False,41,False
img_035,caption_3,165,True,165,True,165,False
img_035,caption_4,142,True,142,True,142,False
img_036,caption_2,16,False,16,False,16,False
img_036,caption_3,139,True,139,True,139,False
img_036,caption_4,127,True,127,True,127,False
img_037,caption_2,31,False,31,False,31,False
img_037,caption_3,110,True,110,True,110,False
img_037,caption_4,90,True,90,True,90,False
img_038,caption_2,43,False,43,False,43,False
img_038,caption_3,93,True,93,True,93,False
img_038,caption_4,73,False,73,False,73,False
img_039,caption_2,36,False,36,False,36,False
img_039,caption_3,146,True,146,True,146,False
img_039,caption_4,126,True,126,True,126,False
